id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
31393253,Young stand,235137355,Ramon,,Xochimilco,19.25331,-99.11459,Entire home/apt,1404,2,0,,,1,180
31622231,Se renta cuarto amueblado en calle privada. Seguro,213205419,Adriana,,Xochimilco,19.27603,-99.1294,Private room,201,1,2,2019-03-26,0.13,2,361
31885633,Habitación en Xochimilco / Embarcadero y el Bosque,63564464,Sandra,,Xochimilco,19.246010000000002,-99.09261,Private room,312,30,0,,,2,364
31989475,Habitación privada cerca del Club de Golf México,235229741,Gloria,,Xochimilco,19.27832,-99.14139,Private room,223,1,0,,,5,365
31989708,"Tlalpan, CDMX habitación para parejas",235229741,Gloria,,Xochimilco,19.278489999999998,-99.14144,Private room,223,1,0,,,5,365
32202359,Agradable departamento en Xochimilco,70197088,Victor Antonio,,Xochimilco,19.26076,-99.11225,Entire home/apt,357,3,21,2020-03-25,1.37,1,362
32465677,Dormitorio,155931555,Eugenia,,Xochimilco,19.25381,-99.09487,Private room,201,1,0,,,2,179
32689587,Un espacio en el Mayab,243032752,Edile,,Xochimilco,19.27881,-99.14084,Private room,646,3,0,,,1,178
33168138,Departamentos amoblados con alberca climatizada!!!,212104868,Marco,,Xochimilco,19.20734,-99.12097,Entire home/apt,1002,1,7,2020-03-22,0.52,8,365
33390284,Habitación al sur Cdmx,145801951,Paulina,,Xochimilco,19.26952,-99.13422,Private room,250,1,0,,,1,0
33551076,"Xochimilco al mejor estilo, disfruta aquí.",252808339,Norma,,Xochimilco,19.28133,-99.13152,Private room,245,1,29,2020-02-23,2.11,1,180
33589302,Loft privado en zona colonial al sur de la ciudad.,253107053,Malu Y Ricardo,,Xochimilco,19.27269,-99.13781,Entire home/apt,557,2,9,2020-03-15,0.67,1,146
33718565,Habitación en el sur de la ciudad con gran vista.,11671434,Cristabel,,Xochimilco,19.26809,-99.13101999999999,Private room,245,3,0,,,2,115
33910274,Hermosa Casona Mexicana rodeada de naturaleza.,123228935,Chucho,,Xochimilco,19.21312,-99.08606,Entire home/apt,9007,1,1,2019-08-04,0.1,1,90
